iso_code3,year,area_gnrl_country_ha
LOU,2000,13565900
LOU,2001,13565900
LOU,2002,13565900
LOU,2003,13565900
LOU,2004,13565900
LOU,2005,13565900
LOU,2006,13565900
LOU,2007,13565900
LOU,2008,13565900
LOU,2009,13565900
LOU,2010,13565900
LOU,2011,13565900
LOU,2012,13565900
LOU,2013,13565900
LOU,2014,13565900
LOU,2015,13565900
LOU,2016,13565900
LOU,2017,13565900
LOU,2018,13565900
LOU,2019,13565900
LOU,2020,13565900
LOU,2021,13565900
LOU,2022,13565900
LOU,2023,13565900
LOU,2024,13565900
LOU,2025,13565900
LOU,2026,13565900
LOU,2027,13565900
LOU,2028,13565900
LOU,2029,13565900
LOU,2030,13565900
LOU,2031,13565900
LOU,2032,13565900
LOU,2033,13565900
LOU,2034,13565900
LOU,2035,13565900
LOU,2036,13565900
LOU,2037,13565900
LOU,2038,13565900
LOU,2039,13565900
LOU,2040,13565900
LOU,2041,13565900
LOU,2042,13565900
LOU,2043,13565900
LOU,2044,13565900
LOU,2045,13565900
LOU,2046,13565900
LOU,2047,13565900
LOU,2048,13565900
LOU,2049,13565900
LOU,2050,13565900
